帐户 ACCOUNT
卡片 CARD
关心 CARE
木匠 CARPENTER
运输 CARRIAGE
胡萝卜 CARROT
大车 CART
赌场 CASINO
投掷 CAST
城堡 CASTLE
猫 CAT
牛 CATTLE
洞穴 CAVE
芹菜 CELERY
细胞 CELL
地窖 CELLAR
公墓 CEMETERY
百分点 CENT
半人马座 CENTAUR
中心 CENTER
链 CHAIN
椅子 CHAIR
粉笔 CHALK
机会 CHANCE
改变 CHANGE
渠道 CHANNEL
收费 CHARGE
查看 CHECK
奶酪 CHEESE
樱桃 CHERRY
棋 CHESS
胸部 CHEST
小鸡 CHICK
鸡 CHICKEN
孩子们 CHILDREN
下巴 CHIN
中国 CHINA
芯片 CHIP
巧克力 CHOCOLATE
圣诞节 CHRISTMAS
教会 CHURCH
圆圈 CIRCLE
蛤 CLAM
班级 CLASS
埃及艳后 CLEOPATRA
悬崖 CLIFF
披风 CLOAK
钟 CLOCK
布 CLOTH
云 CLOUD
俱乐部 CLUB
教练 COACH
煤炭 COAL
海岸 COAST
外套 COAT
蛛网 COBWEB
代码 CODE
咖啡 COFFEE
线圈 COIL
寒冷的 COLD
衣领 COLLAR
颜色 COLOR
哥伦布 COLUMBUS
梳子 COMB
彗星 COMET
舒适 COMFORT
漫画 COMIC
委员会 COMMITTEE
公司 COMPANY
竞赛 COMPETITION
化合物 COMPOUND
电脑 COMPUTER
音乐会 CONCERT
健康）状况 CONDITION
导体 CONDUCTOR
锥体 CONE
联系 CONNECTION
合同 CONTRACT
控制 CONTROL
厨师 COOK
铜 COPPER
复制 COPY
绳索 CORD
软木 CORK
玉米 CORN
棉布 COTTON
咳嗽 COUGH
国家 COUNTRY
法庭 COURT
覆盖 COVER
奶牛 COW
牛仔 COWBOY
螃蟹 CRAB
裂缝 CRACK
饼干 CRACKER
工艺 CRAFT
起重机 CRANE
碰撞 CRASH
箱 CRATE
蜡笔 CRAYON
奶油 CREAM
创造者 CREATOR
生物 CREATURE
信用 CREDIT
婴儿床 CRIB
蟋蟀 CRICKET
犯罪 CRIME
骗子 CROOK
叉 CROSS
乌鸦 CROW
人群 CROWD
王冠 CROWN
十字军 CRUSADER
压碎 CRUSH
水晶 CRYSTAL
幼兽 CUB
布谷鸟 CUCKOO
杯子 CUP
当前的 CURRENT
咖喱 CURRY
窗帘 CURTAIN
曲线 CURVE
软垫 CUSHION
循环 CYCLE
舞蹈 DANCE
短跑 DASH
日期 DATE
天 DAY
死亡 DEATH
债务 DEBT
决定 DECISION
甲板 DECK
鹿 DEER
程度 DEGREE
三角洲 DELTA
牙医 DENTIST
设计 DESIGN
欲望 DESIRE
桌子 DESK
破坏 DESTRUCTION
细节 DETAIL
发展 DEVELOPMENT
钻石 DIAMOND
骰子 DICE
消化 DIGESTION
一角钱 DIME
晚餐 DINNER
恐龙 DINOSAUR
方向 DIRECTION
导演 DIRECTOR
污垢 DIRT
发现 DISCOVERY
讨论 DISCUSSION
疾病 DISEASE
厌恶 DISGUST
磁盘 DISK
距离 DISTANCE
分配 DISTRIBUTION
潜水员 DIVER
分配 DIVISION
码头 DOCK
医生 DOCTOR
狗 DOG
玩具娃娃 DOLL
美元 DOLLAR
驴 DONKEY
门 DOOR
市中心 DOWNTOWN
草稿 DRAFT
龙 DRAGON
流走 DRAIN
抽屉 DRAWER
绘画 DRAWING
梦 DREAM
裙子 DRESS
敷料 DRESSING
钻头 DRILL
喝 DRINK
司机 DRIVER
驾驶 DRIVING
无人机 DRONE
降低 DROP
药品 DRUG
鼓 DRUM
干衣机 DRYER
鸭子 DUCK
灰尘 DUST
矮人 DWARF
鹰 EAGLE
耳朵 EAR
地球 EARTH
地震 EARTHQUAKE
复活节 EASTER
伊甸 EDEN
边缘 EDGE
教育 EDUCATION
影响 EFFECT
蛋 EGG
蛋酒 EGGNOG
埃及 EGYPT
爱因斯坦 EINSTEIN
弯头 ELBOW
大象 ELEPHANT
大使馆 EMBASSY
结尾 END
引擎 ENGINE
英格兰 ENGLAND
错误 ERROR
欧洲 EUROPE
事件 EVENT
例子 EXAMPLE
交换 EXCHANGE
存在 EXISTENCE
扩张 EXPANSION
经验 EXPERIENCE
专家 EXPERT
眼睛 EYE
脸 FACE
事实 FACT
公平的 FAIR
仙女 FAIRY
落下 FALL
家庭 FAMILY
扇子 FAN
方 FANG
农场 FARM
农民 FARMER
父亲 FATHER
龙头 FAUCET
害怕 FEAR
盛宴 FEAST
羽毛 FEATHER
感觉 FEELING
栅栏 FENCE
发烧 FEVER
小说 FICTION
小提琴 FIDDLE
场地 FIELD
斗争 FIGHT
战斗机 FIGHTER
数字 FIGURE
文件 FILE
电影 FILM
手指 FINGER
火 FIRE
消防队员 FIREMAN
鱼 FISH
旗帜 FLAG
火焰 FLAME
平坦的 FLAT
味道 FLAVOR
肉 FLESH
航班 FLIGHT
群 FLOCK
洪水 FLOOD
地面 FLOOR
花 FLOWER
长笛 FLUTE
飞 FLY
泡沫 FOAM
多雾路段 FOG
折叠 FOLD
食物 FOOD
脚 FOOT
力量 FORCE
森林 FOREST
叉 FORK
形式 FORM
鸡 FOWL
框架 FRAME
法国 FRANCE
摩擦 FRICTION
朋友 FRIEND
青蛙 FROG
青蛙 FROGS
正面 FRONT
霜 FROST
水果 FRUIT
燃料 FUEL
家具 FURNITURE
游戏 GAME
流氓 GANGSTER
花园 GARDEN
气体 GAS
门 GATE
齿轮 GEAR
精灵 GENIE
天才 GENIUS
德国 GERMANY
鬼 GHOST
巨大的 GIANT
长颈鹿 GIRAFFE
冰川 GLACIER
玻璃 GLASS
眼镜 GLASSES
手套 GLOVE
胶水 GLUE
山羊 GOAT
金子 GOLD
金鱼 GOLDFISH
Goldilocks GOLDILOCKS
高尔夫球 GOLF
鹅 GOOSE
政府 GOVERNMENT
州长 GOVERNOR
优雅 GRACE
年级 GRADE
粮食 GRAIN
葡萄 GRAPE
草 GRASS
希腊 GREECE
绿色的 GREEN
温室 GREENHOUSE
紧握 GRIP
新郎 GROOM
地面 GROUND
团体 GROUP
生长 GROWTH
指导 GUIDE
吉他 GUITAR
胶 GUM
枪 GUN
体操运动员 GYMNAST
头发 HAIR
理发 HAIRCUT
大厅 HALL
万圣节 HALLOWEEN
火腿 HAM
汉堡包 HAMBURGER
锤 HAMMER
手 HAND
港口 HARBOR
和谐 HARMONY
帽子 HAT
恨 HATE
夏威夷 HAWAII
鹰 HAWK
头 HEAD
健康 HEALTH
心 HEART
热 HEAT
直升机 HELICOPTER
头盔 HELMET
帮助 HELP
母鸡 HEN
大力神 HERCULES
隐藏 HIDE
爬坡道 HILL
喜马拉雅山 HIMALAYAS
历史 HISTORY
打 HIT
爱好 HOBBY
洞 HOLE
假期 HOLIDAY
好莱坞 HOLLYWOOD
家 HOME
荷马 HOMER
蜂蜜 HONEY
兜帽 HOOD
钩 HOOK
希望 HOPE
喇叭 HORN
马 HORSE
马蹄铁 HORSESHOE
软管 HOSE
医院 HOSPITAL
热的 HOT
酒店 HOTEL
小时 HOUR
房子 HOUSE
幽默 HUMOR
消防栓 HYDRANT
冰 ICE
冰岛 ICELAND
冰柱 ICICLE
主意 IDEA
冰屋 IGLOO
冲动 IMPULSE
收入 INCOME
增加 INCREASE
印度 INDIA
行业 INDUSTRY
墨水 INK
昆虫 INSECT
乐器 INSTRUMENT
保险 INSURANCE
兴趣 INTEREST
发明 INVENTION
铁 IRON
岛 ISLAND
象牙 IVORY
杰克 JACK
监狱 JAIL
果酱 JAM
罐 JAR
牛仔裤 JEANS
果冻 JELLY
海蜇 JELLYFISH
喷射 JET
珠宝 JEWEL
珠宝商 JEWELER
琼 JOAN
骑师 JOCKEY
加入 JOIN
开玩笑 JOKE
小丑 JOKER
旅行 JOURNEY
法官 JUDGE
汁 JUICE
跳 JUMP
跳线 JUMPER
木星 JUPITER
袋鼠 KANGAROO
番茄酱 KETCHUP
壶 KETTLE
钥匙 KEY
踢 KICK
孩子 KID
苏格兰短裙 KILT
国王 KING
吻 KISS
厨房 KITCHEN
风筝 KITE
小猫 KITTEN
猕猴桃 KIWI
膝盖 KNEE
刀 KNIFE
骑士 KNIGHT
结 KNOT
知识 KNOWLEDGE
功夫 KUNG FU
实验室 LAB
劳动者 LABORER
蕾丝 LACE
梯子 LADDER
瓢虫 LADYBUG
湖 LAKE
灯 LAMP
土地 LAND
语言 LANGUAGE
圈 LAP
激光 LASER
笑 LAUGH
洗衣店 LAUNDRY
律师 LAWYER
带领 LEAD
叶子 LEAF
学习 LEARNING
皮革 LEATHER
腿 LEG
柠檬 LEMON
柠檬水 LEMONADE
妖精 LEPRECHAUN
信 LETTER
莴苣 LETTUCE
等级 LEVEL
图书馆 LIBRARY
生活 LIFE
举起 LIFT
光 LIGHT
闪电 LIGHTNING
限制 LIMIT
豪华轿车 LIMOUSINE
线 LINE
亚麻布 LINEN
关联 LINK
狮子 LION
唇 LIP
液体 LIQUID
列表 LIST
垃圾 LITTER
蜥蜴 LIZARD
面包 LOAF
湖 LOCH
锁 LOCK
locket LOCKET
刺槐 LOCUST
日志 LOG
伦敦 LONDON
看 LOOK
损失 LOSS
爱 LOVE
运气 LUCK
伐木工人 LUMBERJACK
午餐 LUNCH
小吃店 LUNCHROOM
机器 MACHINE
杂志 MAGAZINE
魔法 MAGIC
魔术师 MAGICIAN
女佣 MAID
邮件 MAIL
邮箱 MAILBOX
化妆品 MAKEUP
长毛象 MAMMOTH
经理 MANAGER
修指甲 MANICURE
地图 MAP
枫 MAPLE
马拉松 MARATHON
大理石 MARBLE
行进 MARCH
标记 MARK
市场 MARKET
面具 MASK
大量的 MASS
匹配 MATCH
一顿饭 MEAL
措施 MEASURE
肉 MEAT
医生 MEDIC
会议 MEETING
记忆 MEMORY
汞 MERCURY
混乱 MESS
金属 METAL
仪表 METER
墨西哥 MEXICO
显微镜 MICROSCOPE
微波 MICROWAVE
中间 MIDDLE
英里 MILE
牛奶 MILK
磨 MILL
百万富翁 MILLIONAIRE
头脑 MIND
矿 MINE
部长 MINISTER
牛头怪 MINOTAUR
薄荷 MINT
分钟 MINUTE
镜子 MIRROR
错过 MISS
导弹 MISSILE
薄雾 MIST
手套 MITTEN
模型 MODEL
莫霍克 MOHAWK
痣 MOLE
钱 MONEY
猴 MONKEY
月 MONTH
月亮 MOON
早晨 MORNING
莫斯科 MOSCOW
摩西 MOSES
蚊子 MOSQUITO
母亲 MOTHER
运动 MOTION
山 MOUNT
山 MOUNTAIN
山 MOUNTIE
老鼠 MOUSE
嘴 MOUTH
移动 MOVE
泥 MUD
马克杯 MUG
木乃伊 MUMMY
肌肉 MUSCLE
音乐 MUSIC
火枪手 MUSKETEER
芥末 MUSTARD
指甲 NAIL
姓名 NAME
拿破仑 NAPOLEON
国家 NATION
脖子 NECK
需要 NEED
针 NEEDLE
神经 NERVE
尼斯 NESS
巢 NEST
网 NET
新的 NEW
消息 NEWS
牛顿 NEWTON
夜晚 NIGHT
忍者 NINJA
诺亚 NOAH
噪音 NOISE
北 NORTH
鼻子 NOSE
笔记 NOTE
笔记本 NOTEBOOK
巴黎圣母院 NOTRE
小说 NOVEL
数字 NUMBER
护士 NURSE
坚果 NUT
尼龙 NYLON
绿洲 OASIS
麦片 OATMEAL
观察 OBSERVATION
海洋 OCEAN
章鱼 OCTOPUS
提供 OFFER
办公室 OFFICE
油 OIL
橄榄 OLIVE
奥林巴斯 OLYMPUS
洋葱 ONION
歌剧 OPERA
手术 OPERATION
观点 OPINION
橙子 ORANGE
命令 ORDER
器官 ORGAN
组织 ORGANIZATION
装饰品 ORNAMENT
烤箱 OVEN
猫头鹰 OWL
所有者 OWNER
太平洋 PACIFIC
软垫 PAD
桨 PADDLE
页 PAGE
疼痛 PAIN
画 PAINT
棕榈 PALM
平底锅 PAN
饼子 PANCAKE
裤子 PANTS
纸 PAPER
降落伞 PARACHUTE
游行 PARADE
包裹 PARCEL
父母 PARENT
公园 PARK
鹦鹉 PARROT
部分 PART
伙伴 PARTNER
派对 PARTY
经过 PASS
乘客 PASSENGER
粘贴 PASTE
修补 PATCH
病人 PATIENT
支付 PAYMENT
豌豆 PEA
和平 PEACE
桃 PEACH
花生 PEANUT
梨 PEAR
珍珠 PEARL
笔 PEN
铅笔 PENCIL
企鹅 PENGUIN
一分钱 PENNY
五角大楼 PENTAGON
胡椒 PEPPER
害虫 PEST
宠物 PET
座位 PEW
凤凰 PHOENIX
钢琴 PIANO
泡菜 PICKLE
图片 PICTURE
馅饼 PIE
猪 PIG
枕头 PILLOW
飞行员 PILOT
别针 PIN
松树 PINE
管道 PIPE
海盗 PIRATE
手枪 PISTOL
坑 PIT
沥青 PITCH
投手 PITCHER
比萨 PIZZA
地方 PLACE
飞机 PLANE
植物 PLANT
种植园 PLANTATION
塑料 PLASTIC
盘子 PLATE
鸭嘴兽 PLATYPUS
玩 PLAY
操场 PLAYGROUND
乐趣 PLEASURE
阴谋 PLOT
犁 PLOUGH
口袋 POCKET
观点 POINT
毒 POISON
极 POLE
警察 POLICE
抛光 POLISH
污染 POLLUTION
马球 POLO
水池 POOL
流行音乐 POP
爆米花 POPCORN
港口 PORT
搬运工 PORTER
位置 POSITION
邮政 POST
锅 POT
土豆 POTATO
波特 POTTER
磅 POUND
粉末 POWDER
力量 POWER
按 PRESS
价格 PRICE
公主 PRINCESS
打印 PRINT
监狱 PRISON
过程 PROCESS
生产 PRODUCE
利润 PROFIT
财产 PROPERTY
散文 PROSE
反对 PROTEST
拉 PULL
泵 PUMP
南瓜 PUMPKIN
惩罚 PUNISHMENT
瞳孔 PUPIL
木偶 PUPPET
目的 PURPOSE
钱包 PURSE
推 PUSH
金字塔 PYRAMID
嘎嘎 QUACK
四分之一 QUARTER
石英 QUARTZ
女王 QUEEN
问题 QUESTION
流沙 QUICKSAND
安静的 QUIET
鹅毛笔 QUILL
被子 QUILT
颤动 QUIVER
兔子 RABBIT
球拍 RACKET
收音机 RADIO
轨 RAIL
铁路 RAILWAY
雨 RAIN
彩虹 RAINBOW
暴雨 RAINSTORM
耙 RAKE
内存 RAM
牧场 RANCH
范围 RANGE
鼠 RAT
速度 RATE
射线 RAY
剃刀 RAZOR
反应 REACTION
阅读 READING
原因 REASON
收据 RECEIPT
休息 RECESS
记录 RECORD
后悔 REGRET
驯鹿 REINDEER
关系 RELATION
宗教 RELIGION
代表 REPRESENTATIVE
要求 REQUEST
尊重 RESPECT
休息 REST
革命 REVOLUTION
报酬 REWARD
韵律 RHYTHM
米 RICE
谜语 RIDDLE
步枪 RIFLE
戒指 RING
RIP RIP
河 RIVER
路 ROAD
罗宾 ROBIN
机器人 ROBOT
岩石 ROCK
杆 ROD
牛仔竞技表演 RODEO
卷 ROLL
罗马 ROME
屋顶 ROOF
房间 ROOM
根 ROOT
绳索 ROPE
玫瑰 ROSE
轮盘赌 ROULETTE
圆形的 ROUND
路线 ROUTE
排 ROW
擦 RUB
橡皮 RUBBER
规则 RULE
统治者 RULER
跑步 RUN
俄罗斯 RUSSIA
锈 RUST
解雇 SACK
鞍 SADDLE
撒哈拉 SAHARA
帆 SAIL
沙拉 SALAD
轿车 SALOON
莎莎 SALSA
盐 SALT
沙 SAND
圣诞老人 SANTA
卫星 SATELLITE
土星 SATURN
锯 SAW
规模 SCALE
稻草人 SCARECROW
围巾 SCARF
场景 SCENE
香味 SCENT
学校 SCHOOL
科学 SCIENCE
科学家 SCIENTIST
剪刀 SCISSORS
蝎 SCORPION
划痕 SCRATCH
屏幕 SCREEN
拧紧 SCREW
滚动 SCROLL
潜水 SCUBA
海 SEA
海豹 SEAL
海滨 SEASHORE
座位 SEAT
第二 SECOND
秘书 SECRETARY
种子 SEED
选择 SELECTION
自己 SELF
感觉 SENSE
仆人 SERVANT
服务器 SERVER
性别 SEX
阴影 SHADE
阴影 SHADOW
摇 SHAKE
莎士比亚 SHAKESPEARE
耻辱 SHAME
洗发水 SHAMPOO
形状 SHAPE
鲨鱼 SHARK
棚 SHED
羊 SHEEP
床单 SHEET
架子 SHELF
壳 SHELL
夏洛克 SHERLOCK
舍伍德 SHERWOOD
船 SHIP
衬衫 SHIRT
震惊 SHOCK
鞋 SHOE
射击 SHOOT
店铺 SHOP
短裤 SHORTS
射击 SHOT
肩膀 SHOULDER
展示 SHOW
淋浴 SHOWER
边 SIDE
人行道 SIDEWALK
符号 SIGN
丝绸 SILK
银 SILVER
下沉 SINK
姐姐 SISTER
尺寸 SIZE
滑冰 SKATE
滑雪 SKI
皮肤 SKIN
裙子 SKIRT
颅骨 SKULL
天空 SKY
摩天大楼 SKYSCRAPER
奴隶 SLAVE
雪橇 SLED
睡觉 SLEEP
霰 SLEET
吊索 SLING
滑 SLIP
拖鞋 SLIPPER
坡 SLOPE
懒惰 SLOTH
sl SLUG
粉碎 SMASH
闻 SMELL
微笑 SMILE
抽烟 SMOKE
冰沙 SMOOTHIE
走私者 SMUGGLER
蜗牛 SNAIL
蛇 SNAKE
折断 SNAP
喷嚏 SNEEZE
雪 SNOW
雪人 SNOWMAN
肥皂 SOAP
社会 SOCIETY
短袜 SOCK
苏打 SODA
沙发 SOFA
士兵 SOLDIER
独奏 SOLO
儿子 SON
歌曲 SONG
种类 SORT
灵魂 SOUL
声音 SOUND
汤 SOUP
空间 SPACE
铲 SPADE
火花 SPARK
拼写 SPELL
狮身人面像 SPHINX
蜘蛛 SPIDER
长钉 SPIKE
脊柱 SPINE
精神 SPIRIT
海绵 SPONGE
勺子 SPOON
点 SPOT
喷 SPRAY
春天 SPRING
间谍 SPY
正方形 SQUARE
壁球 SQUASH
松鼠 SQUIRREL
稳定的 STABLE
体育场 STADIUM
职员 STAFF
阶段 STAGE
邮票 STAMP
星星 STAR
开始 START
状态 STATE
陈述 STATEMENT
车站 STATION
蒸汽 STEAM
钢 STEEL
干 STEM
步 STEP
听诊器 STETHOSCOPE
炖 STEW
戳 STICK
贴纸 STICKER
缝 STITCH
库存 STOCK
袜 STOCKING
胃 STOMACH
石头 STONE
停止 STOP
店铺 STORE
风暴 STORM
故事 STORY
火炉 STOVE
圣帕特里克 ST.PATRICK
陌生人 STRANGER
稻草 STRAW
溪流 STREAM
街道 STREET
拉紧 STRETCH
罢工 STRIKE
细绳 STRING
结构 STRUCTURE
子 SUB
物质 SUBSTANCE
糖 SUGAR
建议 SUGGESTION
套装 SUIT
夏天 SUMMER
相扑 SUMO
太阳 SUN
超级英雄 SUPERHERO
支持 SUPPORT
惊喜 SURPRISE
沼泽 SWAMP
汗 SWEAT
毛衣 SWEATER
游泳 SWIM
摇摆 SWING
转变 SWITCH
剑 SWORD
系统 SYSTEM
桌子 TABLE
药片 TABLET
标签 TAG
尾巴 TAIL
讲话 TALK
坦克 TANK
轻敲 TAP
品尝 TASTE
纹身 TATTOO
税 TAX
茶 TEA
老师 TEACHER
团队 TEAM
撕 TEAR
牙齿 TEETH
望远镜 TELESCOPE
脾气 TEMPER
寺庙 TEMPLE
帐篷 TENT
领土 TERRITORY
测试 TEST
德克萨斯州 TEXAS
质地 TEXTURE
剧院 THEATER
理论 THEORY
贼 THIEF
事物 THING
想法 THOUGHT
线 THREAD
快感 THRILL
喉 THROAT
王座 THRONE
拇指 THUMB
雷 THUNDER
打钩 TICK
票 TICKET
领带 TIE
老虎 TIGER
时间 TIME
锡 TIN
提示 TIP
标题 TITLE
蟾蜍 TOAD
烤面包 TOAST
脚趾 TOE
东京 TOKYO
番茄 TOMATO
舌头 TONGUE
齿 TOOTH
牙刷 TOOTHBRUSH
牙膏 TOOTHPASTE
顶部 TOP
火炬 TORCH
龙卷风 TORNADO
触碰 TOUCH
塔 TOWER
镇 TOWN
玩具 TOY
追踪 TRACK
贸易 TRADE
踪迹 TRAIL
火车 TRAIN
流浪汉 TRAMP
运输 TRANSPORT
托盘 TRAY
治疗 TREATMENT
树 TREE
三角形 TRIANGLE
诡计 TRICK
旅行 TRIP
巨魔 TROLL
麻烦 TROUBLE
卡车 TRUCK
树干 TRUNK
浴缸 TUB
管子 TUBE
隧道 TUNNEL
火鸡 TURKEY
转动 TURN
龟 TURTLE
芭蕾舞短裙 TUTU
燕尾服 TUXEDO
枝条 TWIG
捻 TWIST
伞 UMBRELLA
叔叔 UNCLE
承办商 UNDERTAKER
内衣 UNDERWEAR
独角兽 UNICORN
单元 UNIT
大学 UNIVERITY
假期 VACATION
真空 VACUUM
情人 VALENTINE
价值 VALUE
吸血鬼 VAMPIRE
面包车 VAN
花瓶 VASE
蔬菜 VEGETABLE
面纱 VEIL
静脉 VEIN
金星 VENUS
诗 VERSE
血管 VESSEL
背心 VEST
兽医 VET
看法 VIEW
维京人 VIKING
紫色 VIOLET
病毒 VIRUS
游客 VISITOR
嗓音 VOICE
火山 VOLCANO
排球 VOLLEYBALL
体积 VOLUME
航程 VOYAGE
车皮 WAGON
女服务员 WAITRESS
唤醒 WAKE
走 WALK
墙 WALL
海象 WALRUS
战争 WAR
洗 WASH
垫圈 WASHER
华盛顿 WASHINGTON
浪费 WASTE
手表 WATCH
水 WATER
海浪 WAVE
蜡 WAX
方式 WAY
财富 WEALTH
天气 WEATHER
网络 WEB
婚礼 WEDDING
星期 WEEK
重量 WEIGHT
出色地 WELL
狼人 WEREWOLF
鲸 WHALE
车轮 WHEEL
轮椅 WHEELCHAIR
鞭 WHIP
哨 WHISTLE
荒野 WILDERNESS
风 WIND
窗户 WINDOW
葡萄酒 WINE
翼 WING
冬天 WINTER
金属丝 WIRE
希望 WISH
巫婆 WITCH
向导 WIZARD
女士 WOMAN
女性 WOMEN
仙境 WONDERLAND
木头 WOOD
羊毛 WOOL
单词 WORD
工作 WORK
蠕虫 WORM
伤口 WOUND
鹪 WREN
扳手 WRENCH
手腕 WRIST
作家 WRITER
写作 WRITING
牛 YAK
薯 YAM
院子 YARD
纱 YARN
年 YEAR
黄石 YELLOWSTONE
轭 YOKE
约克 YORK
斑马 ZEBRA
和风 ZEPHYR
锌 ZINC
拉链 ZIPPER
僵尸 ZOMBIE
动物园 ZOO
